Year,Passenger Fatalities,Passenger Serious Injuries,Total Passenger Enplanements (millions),Million Passenger Enplanements per Passenger Fatality
1983,8,8,325,40.6
1984,1,6,352,352
1985,486,20,390,0.8
1986,4,14,427,106.8
1987,213,39,458,2.2
1988,255,44,466,1.8
1989,259,55,468,1.8
1990,8,23,483,60.4
1991,40,19,468,11.7
1992,25,14,494,19.8
1993,0,7,505,No Fatalities
1994,228,15,545,2.4
1995,152,15,561,3.7
1996,319,19,592,1.9
1997,2,21,648,324
1998,0,12,650,No Fatalities
1999,10,46,676,67.6
2000,83,13,701,8.4
2001,483,7,629,1.3
2002,0,11,619,No Fatalities
2003,19,10,654,34.4
2004,11,3,711,64.6
2005,18,2,743,41.3
2006,47,4,747,15.9
2007,0,3,770,No Fatalities
2008,0,10,744,No Fatalities
2009,45,11,706,15.7
2010,0,5,723,No Fatalities
2011,0,4,734,No Fatalities
2012,0,3,740,No Fatalities
2013,0,1,746,No Fatalities
2014,0,0,764,No Fatalities